date,product,price_yuan,category,sales_count,revenue_wan
2026-04-16,无线蓝牙耳机 Pro,299,数码,697,20.84
2026-04-16,智能运动手环 X3,199,数码,577,11.48
2026-04-16,便携充电宝 20000mAh,89,数码,530,4.72
2026-04-16,机械键盘 RGB,349,数码,461,16.09
2026-04-16,护眼台灯 智能版,159,家居,412,6.55
2026-04-16,蓝牙音箱 Mini,129,数码,384,4.95
2026-04-16,手机支架 铝合金,39,配件,289,1.13
2026-04-16,Type-C 数据线套装,29,配件,270,0.78
2026-04-16,桌面收纳盒 多层,49,家居,218,1.07
2026-04-16,USB 扩展坞 7合1,199,数码,190,3.78
2026-04-16,不锈钢保温杯 500ml,79,家居,212,1.67
2026-04-16,电动牙刷 声波款,259,家居,158,4.09
2026-04-16,瑜伽垫 防滑加厚,69,运动,190,1.31
2026-04-16,智能体重秤,99,家居,120,1.19
2026-04-16,筋膜枪 迷你款,179,运动,118,2.11
2026-04-17,无线蓝牙耳机 Pro,299,数码,639,19.11
2026-04-17,智能运动手环 X3,199,数码,559,11.12
2026-04-17,便携充电宝 20000mAh,89,数码,530,4.72
2026-04-17,机械键盘 RGB,349,数码,415,14.48
2026-04-17,护眼台灯 智能版,159,家居,350,5.57
2026-04-17,蓝牙音箱 Mini,129,数码,312,4.02
2026-04-17,手机支架 铝合金,39,配件,288,1.12
2026-04-17,Type-C 数据线套装,29,配件,263,0.76
2026-04-17,桌面收纳盒 多层,49,家居,246,1.21
2026-04-17,USB 扩展坞 7合1,199,数码,167,3.32
2026-04-17,不锈钢保温杯 500ml,79,家居,182,1.44
2026-04-17,电动牙刷 声波款,259,家居,151,3.91
2026-04-17,瑜伽垫 防滑加厚,69,运动,127,0.88
2026-04-17,智能体重秤,99,家居,104,1.03
2026-04-17,筋膜枪 迷你款,179,运动,106,1.9
2026-04-18,无线蓝牙耳机 Pro,299,数码,802,23.98
2026-04-18,智能运动手环 X3,199,数码,650,12.94
2026-04-18,便携充电宝 20000mAh,89,数码,545,4.85
2026-04-18,机械键盘 RGB,349,数码,499,17.42
2026-04-18,护眼台灯 智能版,159,家居,499,7.93
2026-04-18,蓝牙音箱 Mini,129,数码,447,5.77
2026-04-18,手机支架 铝合金,39,配件,297,1.16
2026-04-18,Type-C 数据线套装,29,配件,321,0.93
2026-04-18,桌面收纳盒 多层,49,家居,259,1.27
2026-04-18,USB 扩展坞 7合1,199,数码,222,4.42
2026-04-18,不锈钢保温杯 500ml,79,家居,212,1.67
2026-04-18,电动牙刷 声波款,259,家居,177,4.58
2026-04-18,瑜伽垫 防滑加厚,69,运动,177,1.22
2026-04-18,智能体重秤,99,家居,125,1.24
2026-04-18,筋膜枪 迷你款,179,运动,122,2.18
2026-04-19,无线蓝牙耳机 Pro,299,数码,821,24.55
2026-04-19,智能运动手环 X3,199,数码,704,14.01
2026-04-19,便携充电宝 20000mAh,89,数码,622,5.54
2026-04-19,机械键盘 RGB,349,数码,473,16.51
2026-04-19,护眼台灯 智能版,159,家居,458,7.28
2026-04-19,蓝牙音箱 Mini,129,数码,434,5.6
2026-04-19,手机支架 铝合金,39,配件,391,1.52
2026-04-19,Type-C 数据线套装,29,配件,312,0.9
2026-04-19,桌面收纳盒 多层,49,家居,264,1.29
2026-04-19,USB 扩展坞 7合1,199,数码,227,4.52
2026-04-19,不锈钢保温杯 500ml,79,家居,203,1.6
2026-04-19,电动牙刷 声波款,259,家居,176,4.56
2026-04-19,瑜伽垫 防滑加厚,69,运动,189,1.3
2026-04-19,智能体重秤,99,家居,141,1.4
2026-04-19,筋膜枪 迷你款,179,运动,131,2.34
2026-04-20,无线蓝牙耳机 Pro,299,数码,634,18.96
2026-04-20,智能运动手环 X3,199,数码,597,11.88
2026-04-20,便携充电宝 20000mAh,89,数码,487,4.33
2026-04-20,机械键盘 RGB,349,数码,405,14.13
2026-04-20,护眼台灯 智能版,159,家居,366,5.82
2026-04-20,蓝牙音箱 Mini,129,数码,337,4.35
2026-04-20,手机支架 铝合金,39,配件,291,1.13
2026-04-20,Type-C 数据线套装,29,配件,277,0.8
2026-04-20,桌面收纳盒 多层,49,家居,219,1.07
2026-04-20,USB 扩展坞 7合1,199,数码,212,4.22
2026-04-20,不锈钢保温杯 500ml,79,家居,210,1.66
2026-04-20,电动牙刷 声波款,259,家居,140,3.63
2026-04-20,瑜伽垫 防滑加厚,69,运动,151,1.04
2026-04-20,智能体重秤,99,家居,107,1.06
2026-04-20,筋膜枪 迷你款,179,运动,110,1.97
2026-04-21,无线蓝牙耳机 Pro,299,数码,740,22.13
2026-04-21,智能运动手环 X3,199,数码,650,12.94
2026-04-21,便携充电宝 20000mAh,89,数码,571,5.08
2026-04-21,机械键盘 RGB,349,数码,426,14.87
2026-04-21,护眼台灯 智能版,159,家居,392,6.23
2026-04-21,蓝牙音箱 Mini,129,数码,342,4.41
2026-04-21,手机支架 铝合金,39,配件,313,1.22
2026-04-21,Type-C 数据线套装,29,配件,227,0.66
2026-04-21,桌面收纳盒 多层,49,家居,263,1.29
2026-04-21,USB 扩展坞 7合1,199,数码,245,4.88
2026-04-21,不锈钢保温杯 500ml,79,家居,213,1.68
2026-04-21,电动牙刷 声波款,259,家居,149,3.86
2026-04-21,瑜伽垫 防滑加厚,69,运动,159,1.1
2026-04-21,智能体重秤,99,家居,121,1.2
2026-04-21,筋膜枪 迷你款,179,运动,116,2.08
2026-04-22,无线蓝牙耳机 Pro,299,数码,753,22.51
2026-04-22,智能运动手环 X3,199,数码,535,10.65
2026-04-22,便携充电宝 20000mAh,89,数码,540,4.81
2026-04-22,机械键盘 RGB,349,数码,485,16.93
2026-04-22,护眼台灯 智能版,159,家居,453,7.2
2026-04-22,蓝牙音箱 Mini,129,数码,435,5.61
2026-04-22,手机支架 铝合金,39,配件,291,1.13
2026-04-22,Type-C 数据线套装,29,配件,337,0.98
2026-04-22,桌面收纳盒 多层,49,家居,229,1.12
2026-04-22,USB 扩展坞 7合1,199,数码,187,3.72
2026-04-22,不锈钢保温杯 500ml,79,家居,201,1.59
2026-04-22,电动牙刷 声波款,259,家居,149,3.86
2026-04-22,瑜伽垫 防滑加厚,69,运动,162,1.12
2026-04-22,智能体重秤,99,家居,105,1.04
2026-04-22,筋膜枪 迷你款,179,运动,115,2.06
2026-04-23,无线蓝牙耳机 Pro,299,数码,723,21.62
2026-04-23,智能运动手环 X3,199,数码,612,12.18
2026-04-23,便携充电宝 20000mAh,89,数码,544,4.84
2026-04-23,机械键盘 RGB,349,数码,485,16.93
2026-04-23,护眼台灯 智能版,159,家居,350,5.57
2026-04-23,蓝牙音箱 Mini,129,数码,380,4.9
2026-04-23,手机支架 铝合金,39,配件,316,1.23
2026-04-23,Type-C 数据线套装,29,配件,286,0.83
2026-04-23,桌面收纳盒 多层,49,家居,262,1.28
2026-04-23,USB 扩展坞 7合1,199,数码,182,3.62
2026-04-23,不锈钢保温杯 500ml,79,家居,185,1.46
2026-04-23,电动牙刷 声波款,259,家居,136,3.52
2026-04-23,瑜伽垫 防滑加厚,69,运动,154,1.06
2026-04-23,智能体重秤,99,家居,134,1.33
2026-04-23,筋膜枪 迷你款,179,运动,119,2.13
2026-04-24,无线蓝牙耳机 Pro,299,数码,585,17.49
2026-04-24,智能运动手环 X3,199,数码,447,8.9
2026-04-24,便携充电宝 20000mAh,89,数码,400,3.56
2026-04-24,机械键盘 RGB,349,数码,384,13.4
2026-04-24,护眼台灯 智能版,159,家居,306,4.87
2026-04-24,蓝牙音箱 Mini,129,数码,331,4.27
2026-04-24,手机支架 铝合金,39,配件,269,1.05
2026-04-24,Type-C 数据线套装,29,配件,238,0.69
2026-04-24,桌面收纳盒 多层,49,家居,198,0.97
2026-04-24,USB 扩展坞 7合1,199,数码,179,3.56
2026-04-24,不锈钢保温杯 500ml,79,家居,179,1.41
2026-04-24,电动牙刷 声波款,259,家居,139,3.6
2026-04-24,瑜伽垫 防滑加厚,69,运动,141,0.97
2026-04-24,智能体重秤,99,家居,99,0.98
2026-04-24,筋膜枪 迷你款,179,运动,105,1.88
2026-04-25,无线蓝牙耳机 Pro,299,数码,812,24.28
2026-04-25,智能运动手环 X3,199,数码,661,13.15
2026-04-25,便携充电宝 20000mAh,89,数码,564,5.02
2026-04-25,机械键盘 RGB,349,数码,468,16.33
2026-04-25,护眼台灯 智能版,159,家居,467,7.43
2026-04-25,蓝牙音箱 Mini,129,数码,448,5.78
2026-04-25,手机支架 铝合金,39,配件,394,1.54
2026-04-25,Type-C 数据线套装,29,配件,284,0.82
2026-04-25,桌面收纳盒 多层,49,家居,298,1.46
2026-04-25,USB 扩展坞 7合1,199,数码,219,4.36
2026-04-25,不锈钢保温杯 500ml,79,家居,236,1.86
2026-04-25,电动牙刷 声波款,259,家居,167,4.33
2026-04-25,瑜伽垫 防滑加厚,69,运动,182,1.26
2026-04-25,智能体重秤,99,家居,138,1.37
2026-04-25,筋膜枪 迷你款,179,运动,119,2.13
2026-04-26,无线蓝牙耳机 Pro,299,数码,948,28.35
2026-04-26,智能运动手环 X3,199,数码,703,13.99
2026-04-26,便携充电宝 20000mAh,89,数码,685,6.1
2026-04-26,机械键盘 RGB,349,数码,515,17.97
2026-04-26,护眼台灯 智能版,159,家居,508,8.08
2026-04-26,蓝牙音箱 Mini,129,数码,352,4.54
2026-04-26,手机支架 铝合金,39,配件,454,1.77
2026-04-26,Type-C 数据线套装,29,配件,372,1.08
2026-04-26,桌面收纳盒 多层,49,家居,278,1.36
2026-04-26,USB 扩展坞 7合1,199,数码,200,3.98
2026-04-26,不锈钢保温杯 500ml,79,家居,243,1.92
2026-04-26,电动牙刷 声波款,259,家居,168,4.35
2026-04-26,瑜伽垫 防滑加厚,69,运动,197,1.36
2026-04-26,智能体重秤,99,家居,147,1.46
2026-04-26,筋膜枪 迷你款,179,运动,131,2.34
2026-04-27,无线蓝牙耳机 Pro,299,数码,765,22.87
2026-04-27,智能运动手环 X3,199,数码,646,12.86
2026-04-27,便携充电宝 20000mAh,89,数码,519,4.62
2026-04-27,机械键盘 RGB,349,数码,389,13.58
2026-04-27,护眼台灯 智能版,159,家居,430,6.84
2026-04-27,蓝牙音箱 Mini,129,数码,351,4.53
2026-04-27,手机支架 铝合金,39,配件,284,1.11
2026-04-27,Type-C 数据线套装,29,配件,310,0.9
2026-04-27,桌面收纳盒 多层,49,家居,280,1.37
2026-04-27,USB 扩展坞 7合1,199,数码,199,3.96
2026-04-27,不锈钢保温杯 500ml,79,家居,234,1.85
2026-04-27,电动牙刷 声波款,259,家居,161,4.17
2026-04-27,瑜伽垫 防滑加厚,69,运动,155,1.07
2026-04-27,智能体重秤,99,家居,113,1.12
2026-04-27,筋膜枪 迷你款,179,运动,135,2.42
2026-04-28,无线蓝牙耳机 Pro,299,数码,671,20.06
2026-04-28,智能运动手环 X3,199,数码,505,10.05
2026-04-28,便携充电宝 20000mAh,89,数码,441,3.92
2026-04-28,机械键盘 RGB,349,数码,419,14.62
2026-04-28,护眼台灯 智能版,159,家居,341,5.42
2026-04-28,蓝牙音箱 Mini,129,数码,306,3.95
2026-04-28,手机支架 铝合金,39,配件,307,1.2
2026-04-28,Type-C 数据线套装,29,配件,278,0.81
2026-04-28,桌面收纳盒 多层,49,家居,222,1.09
2026-04-28,USB 扩展坞 7合1,199,数码,167,3.32
2026-04-28,不锈钢保温杯 500ml,79,家居,169,1.34
2026-04-28,电动牙刷 声波款,259,家居,141,3.65
2026-04-28,瑜伽垫 防滑加厚,69,运动,144,0.99
2026-04-28,智能体重秤,99,家居,97,0.96
2026-04-28,筋膜枪 迷你款,179,运动,111,1.99
2026-04-29,无线蓝牙耳机 Pro,299,数码,580,17.34
2026-04-29,智能运动手环 X3,199,数码,519,10.33
2026-04-29,便携充电宝 20000mAh,89,数码,466,4.15
2026-04-29,机械键盘 RGB,349,数码,408,14.24
2026-04-29,护眼台灯 智能版,159,家居,430,6.84
2026-04-29,蓝牙音箱 Mini,129,数码,342,4.41
2026-04-29,手机支架 铝合金,39,配件,279,1.09
2026-04-29,Type-C 数据线套装,29,配件,266,0.77
2026-04-29,桌面收纳盒 多层,49,家居,218,1.07
2026-04-29,USB 扩展坞 7合1,199,数码,191,3.8
2026-04-29,不锈钢保温杯 500ml,79,家居,195,1.54
2026-04-29,电动牙刷 声波款,259,家居,164,4.25
2026-04-29,瑜伽垫 防滑加厚,69,运动,149,1.03
2026-04-29,智能体重秤,99,家居,126,1.25
2026-04-29,筋膜枪 迷你款,179,运动,120,2.15
2026-04-30,无线蓝牙耳机 Pro,299,数码,750,22.43
2026-04-30,智能运动手环 X3,199,数码,545,10.85
2026-04-30,便携充电宝 20000mAh,89,数码,429,3.82
2026-04-30,机械键盘 RGB,349,数码,441,15.39
2026-04-30,护眼台灯 智能版,159,家居,413,6.57
2026-04-30,蓝牙音箱 Mini,129,数码,318,4.1
2026-04-30,手机支架 铝合金,39,配件,272,1.06
2026-04-30,Type-C 数据线套装,29,配件,244,0.71
2026-04-30,桌面收纳盒 多层,49,家居,224,1.1
2026-04-30,USB 扩展坞 7合1,199,数码,195,3.88
2026-04-30,不锈钢保温杯 500ml,79,家居,185,1.46
2026-04-30,电动牙刷 声波款,259,家居,142,3.68
2026-04-30,瑜伽垫 防滑加厚,69,运动,158,1.09
2026-04-30,智能体重秤,99,家居,103,1.02
2026-04-30,筋膜枪 迷你款,179,运动,115,2.06
2026-05-01,无线蓝牙耳机 Pro,299,数码,679,20.3
2026-05-01,智能运动手环 X3,199,数码,542,10.79
2026-05-01,便携充电宝 20000mAh,89,数码,472,4.2
2026-05-01,机械键盘 RGB,349,数码,389,13.58
2026-05-01,护眼台灯 智能版,159,家居,403,6.41
2026-05-01,蓝牙音箱 Mini,129,数码,308,3.97
2026-05-01,手机支架 铝合金,39,配件,274,1.07
2026-05-01,Type-C 数据线套装,29,配件,298,0.86
2026-05-01,桌面收纳盒 多层,49,家居,235,1.15
2026-05-01,USB 扩展坞 7合1,199,数码,147,2.93
2026-05-01,不锈钢保温杯 500ml,79,家居,174,1.37
2026-05-01,电动牙刷 声波款,259,家居,124,3.21
2026-05-01,瑜伽垫 防滑加厚,69,运动,134,0.92
2026-05-01,智能体重秤,99,家居,81,0.8
2026-05-01,筋膜枪 迷你款,179,运动,108,1.93
2026-05-02,无线蓝牙耳机 Pro,299,数码,777,23.23
2026-05-02,智能运动手环 X3,199,数码,561,11.16
2026-05-02,便携充电宝 20000mAh,89,数码,562,5.0
2026-05-02,机械键盘 RGB,349,数码,457,15.95
2026-05-02,护眼台灯 智能版,159,家居,481,7.65
2026-05-02,蓝牙音箱 Mini,129,数码,430,5.55
2026-05-02,手机支架 铝合金,39,配件,365,1.42
2026-05-02,Type-C 数据线套装,29,配件,293,0.85
2026-05-02,桌面收纳盒 多层,49,家居,299,1.47
2026-05-02,USB 扩展坞 7合1,199,数码,188,3.74
2026-05-02,不锈钢保温杯 500ml,79,家居,190,1.5
2026-05-02,电动牙刷 声波款,259,家居,170,4.4
2026-05-02,瑜伽垫 防滑加厚,69,运动,203,1.4
2026-05-02,智能体重秤,99,家居,126,1.25
2026-05-02,筋膜枪 迷你款,179,运动,127,2.27
2026-05-03,无线蓝牙耳机 Pro,299,数码,817,24.43
2026-05-03,智能运动手环 X3,199,数码,681,13.55
2026-05-03,便携充电宝 20000mAh,89,数码,583,5.19
2026-05-03,机械键盘 RGB,349,数码,441,15.39
2026-05-03,护眼台灯 智能版,159,家居,398,6.33
2026-05-03,蓝牙音箱 Mini,129,数码,340,4.39
2026-05-03,手机支架 铝合金,39,配件,340,1.33
2026-05-03,Type-C 数据线套装,29,配件,270,0.78
2026-05-03,桌面收纳盒 多层,49,家居,229,1.12
2026-05-03,USB 扩展坞 7合1,199,数码,204,4.06
2026-05-03,不锈钢保温杯 500ml,79,家居,202,1.6
2026-05-03,电动牙刷 声波款,259,家居,161,4.17
2026-05-03,瑜伽垫 防滑加厚,69,运动,175,1.21
2026-05-03,智能体重秤,99,家居,127,1.26
2026-05-03,筋膜枪 迷你款,179,运动,123,2.2
2026-05-04,无线蓝牙耳机 Pro,299,数码,623,18.63
2026-05-04,智能运动手环 X3,199,数码,569,11.32
2026-05-04,便携充电宝 20000mAh,89,数码,495,4.41
2026-05-04,机械键盘 RGB,349,数码,364,12.7
2026-05-04,护眼台灯 智能版,159,家居,406,6.46
2026-05-04,蓝牙音箱 Mini,129,数码,314,4.05
2026-05-04,手机支架 铝合金,39,配件,303,1.18
2026-05-04,Type-C 数据线套装,29,配件,287,0.83
2026-05-04,桌面收纳盒 多层,49,家居,242,1.19
2026-05-04,USB 扩展坞 7合1,199,数码,188,3.74
2026-05-04,不锈钢保温杯 500ml,79,家居,182,1.44
2026-05-04,电动牙刷 声波款,259,家居,161,4.17
2026-05-04,瑜伽垫 防滑加厚,69,运动,158,1.09
2026-05-04,智能体重秤,99,家居,107,1.06
2026-05-04,筋膜枪 迷你款,179,运动,105,1.88
2026-05-05,无线蓝牙耳机 Pro,299,数码,584,17.46
2026-05-05,智能运动手环 X3,199,数码,477,9.49
2026-05-05,便携充电宝 20000mAh,89,数码,454,4.04
2026-05-05,机械键盘 RGB,349,数码,362,12.63
2026-05-05,护眼台灯 智能版,159,家居,354,5.63
2026-05-05,蓝牙音箱 Mini,129,数码,272,3.51
2026-05-05,手机支架 铝合金,39,配件,279,1.09
2026-05-05,Type-C 数据线套装,29,配件,214,0.62
2026-05-05,桌面收纳盒 多层,49,家居,204,1.0
2026-05-05,USB 扩展坞 7合1,199,数码,141,2.81
2026-05-05,不锈钢保温杯 500ml,79,家居,163,1.29
2026-05-05,电动牙刷 声波款,259,家居,107,2.77
2026-05-05,瑜伽垫 防滑加厚,69,运动,125,0.86
2026-05-05,智能体重秤,99,家居,99,0.98
2026-05-05,筋膜枪 迷你款,179,运动,92,1.65
2026-05-06,无线蓝牙耳机 Pro,299,数码,664,19.85
2026-05-06,智能运动手环 X3,199,数码,514,10.23
2026-05-06,便携充电宝 20000mAh,89,数码,431,3.84
2026-05-06,机械键盘 RGB,349,数码,381,13.3
2026-05-06,护眼台灯 智能版,159,家居,418,6.65
2026-05-06,蓝牙音箱 Mini,129,数码,339,4.37
2026-05-06,手机支架 铝合金,39,配件,302,1.18
2026-05-06,Type-C 数据线套装,29,配件,250,0.72
2026-05-06,桌面收纳盒 多层,49,家居,210,1.03
2026-05-06,USB 扩展坞 7合1,199,数码,139,2.77
2026-05-06,不锈钢保温杯 500ml,79,家居,163,1.29
2026-05-06,电动牙刷 声波款,259,家居,132,3.42
2026-05-06,瑜伽垫 防滑加厚,69,运动,117,0.81
2026-05-06,智能体重秤,99,家居,94,0.93
2026-05-06,筋膜枪 迷你款,179,运动,87,1.56
2026-05-07,无线蓝牙耳机 Pro,299,数码,711,21.26
2026-05-07,智能运动手环 X3,199,数码,605,12.04
2026-05-07,便携充电宝 20000mAh,89,数码,498,4.43
2026-05-07,机械键盘 RGB,349,数码,376,13.12
2026-05-07,护眼台灯 智能版,159,家居,313,4.98
2026-05-07,蓝牙音箱 Mini,129,数码,286,3.69
2026-05-07,手机支架 铝合金,39,配件,266,1.04
2026-05-07,Type-C 数据线套装,29,配件,241,0.7
2026-05-07,桌面收纳盒 多层,49,家居,219,1.07
2026-05-07,USB 扩展坞 7合1,199,数码,170,3.38
2026-05-07,不锈钢保温杯 500ml,79,家居,190,1.5
2026-05-07,电动牙刷 声波款,259,家居,145,3.76
2026-05-07,瑜伽垫 防滑加厚,69,运动,148,1.02
2026-05-07,智能体重秤,99,家居,121,1.2
2026-05-07,筋膜枪 迷你款,179,运动,100,1.79
2026-05-08,无线蓝牙耳机 Pro,299,数码,687,20.54
2026-05-08,智能运动手环 X3,199,数码,558,11.1
2026-05-08,便携充电宝 20000mAh,89,数码,532,4.73
2026-05-08,机械键盘 RGB,349,数码,450,15.71
2026-05-08,护眼台灯 智能版,159,家居,353,5.61
2026-05-08,蓝牙音箱 Mini,129,数码,338,4.36
2026-05-08,手机支架 铝合金,39,配件,312,1.22
2026-05-08,Type-C 数据线套装,29,配件,261,0.76
2026-05-08,桌面收纳盒 多层,49,家居,240,1.18
